,label,image,description
287,street,seg_train/seg_train/street/889.jpg, The image shows a street with palm trees on both sides. There is a car parked on the street. The buildings are small and have a lot of windows. The street is narrow and there is not much traffic. The main object in the image is (F) street.
290,street,seg_train/seg_train/street/6102.jpg," The image shows a scene of a street in a town. The main objects in the image are buildings. There are also people walking on the street and a parked car. The buildings are made of stone and have red tile roofs. The street is made of cobblestones. The image is taken from a low angle, which makes the buildings look taller and more imposing. The sky is blue and there are some clouds in the distance. The main object in the image is (A) buildings."
292,street,seg_train/seg_train/street/1425.jpg, The image is a night view of a street. There are cars parked on the side of the street. The street is lit by streetlights. There are buildings on both sides of the street. The main object in the image is (F) street.
300,street,seg_train/seg_train/street/14023.jpg, The image is a black and white street scene. There are buildings on both sides of the street. The buildings are tall and have many windows. The street is narrow and there are people walking on it. There are also some trees on the street. The main object in the image is the street. (F)
311,street,seg_train/seg_train/street/14839.jpg, The image is a night view of a street. The main object in the image is a street. There are also some buildings and cars on the street. The street is lit by streetlights. The image is in black and white. (F)
312,street,seg_train/seg_train/street/16726.jpg, The image is a night view of a snowy street. The street is lined with trees and buildings. The snow is falling heavily and the street is empty. The main object in the image is the street. (F)
340,street,seg_train/seg_train/street/16769.jpg, The image shows a scene of a street with colonial style buildings on both sides of the street. There are people walking on the street. The main object in the image is (F) street.
359,street,seg_train/seg_train/street/406.jpg," The image shows a street scene in a town. There are a number of buildings on either side of the street, and people are walking on the street. There is a man pulling a cart full of bamboo sticks. The main object in the image is a (F) street."
366,street,seg_train/seg_train/street/17394.jpg, The image shows a group of children walking on a street. There are buildings on both sides of the street. The buildings are made of brick and have a lot of windows. The street is made of asphalt and has a lot of cars parked on it. There are trees on both sides of the street. The trees are tall and have a lot of leaves. The sky is blue and there are a few clouds in the sky. The main object in the image is (F) street.
367,street,seg_train/seg_train/street/14268.jpg, The image shows a street with old buildings on both sides. The street is made of cobblestones. There are a few trees on the street. The sky is blue with a few clouds. The main objects in the image are buildings. So the answer is '(A)'.
413,street,seg_train/seg_train/street/1000.jpg," The image shows a pedestrian street in a city. There are buildings lined up on both sides of the street. The buildings are mostly commercial buildings, with shops and restaurants on the first floor and offices on the upper floors. The street is paved with concrete and there are trees planted on either side. There are people walking on the street. The main object in the image is (A) buildings."
494,street,seg_train/seg_train/street/18300.jpg," The image shows a scene of a street with old brick buildings on both sides and a stone street. The main object in the image is a building with a blue awning and a sign that says ""Jones Dairy"". (F)"
530,street,seg_train/seg_train/street/872.jpg, The image shows a night sky full of stars with a long road in the foreground and trees on either side of the road. There is a forest in the distance. The main object in the image is the night sky. (F)(B)
934,street,seg_train/seg_train/street/17557.jpg," The image shows a wide street with a clock tower at the end of the street. There are buildings on both sides of the street. The buildings are mostly two or three stories tall, and they are made of a variety of materials, including brick, wood, and stone. There are a few cars parked on the street, and there are trees on either side of the street. The main object in the image is (F) street."
936,street,seg_train/seg_train/street/16740.jpg, The image shows a narrow street with traditional Japanese houses on both sides. The street is made of stone and is lined with trees and plants. There is a motorcycle parked on the street. The main object in the image is (F) street.
1387,street,seg_train/seg_train/street/15169.jpg,
3415,mountain,seg_train/seg_train/mountain/6869.jpg, The image shows a mountain range in the distance with clouds in the foreground. The main object in the image is (D) mountain.
4165,mountain,seg_train/seg_train/mountain/16659.jpg, The image shows an aerial view of a mountain landscape. The main object in the image is the forest. The forest is made up of coniferous trees. The trees are green and lush. The forest is located in a valley between two mountains. The mountains are covered in snow. The sky is blue and there are some clouds in the sky. (B)
4224,mountain,seg_train/seg_train/mountain/13240.jpg," The image shows a mountain landscape. The main object in the image is a mountain.
(D)"
4226,mountain,seg_train/seg_train/mountain/17622.jpg," This is a photo of a mountain valley. The main objects in the image are mountains, which belong to category (D)."
4365,mountain,seg_train/seg_train/mountain/5832.jpg, This is a mountain landscape image. The main objects in the image are mountains. So the answer is (D).
4366,mountain,seg_train/seg_train/mountain/11254.jpg," This is an aerial view of a mountain range. The main object in the image is a mountain range.
(D)"
4368,mountain,seg_train/seg_train/mountain/2382.jpg," The image shows a snow-capped mountain. There are some trees in the front. The main object in the image is a mountain.
(D)"
4519,mountain,seg_train/seg_train/mountain/15354.jpg," This is a picture of a snow-capped mountain. The main object in the image is a mountain, so the answer is (D)."
4521,mountain,seg_train/seg_train/mountain/4339.jpg, The image shows a mountain. There is a snow-capped mountain in the distance. The foreground is a rocky slope covered with snow. The sky is cloudy and there is a hint of sunlight on the mountain. (D)
4525,mountain,seg_train/seg_train/mountain/16863.jpg," The image shows a large, flat-topped rock formation in the foreground, with a forest of trees behind it. In the background, there is a mountain peak. (D)"
4642,mountain,seg_train/seg_train/mountain/3465.jpg, The image shows a mountain range with a body of water in front of it. The mountains are covered in snow and the water is reflecting the sky. The main object in the image is the mountain range. (D)
5013,buildings,seg_train/seg_train/buildings/8444.jpg, The image shows a cityscape. There are many tall buildings in the image. The main object in the image is '(A) buildings'.
5015,buildings,seg_train/seg_train/buildings/9807.jpg," (A)
The main object in the image is a building."
5062,buildings,seg_train/seg_train/buildings/17605.jpg," (A)
The main object in the image is a building. There is also an American flag hanging on the building."
5339,buildings,seg_train/seg_train/buildings/235.jpg," The image shows an old apartment building made of red bricks. The building has many windows of different sizes. On the right side of the building, there is a tree with green leaves. (A)"
